,Ctrl-1,Ctrl-2,SHED-1,SHED-2
Ywhag,0.204123973012419,0.188854027366616,0.159669730759567,0.164865564410386
Uggt1,0.154027886408131,0.163270012803579,0.207965624805286,0.182752576531486
Acaa1a,0.166870351364664,0.163138205855051,0.187263417488939,0.167101540045243
Hsd17b10,0.162686669023352,0.155647259414411,0.198209704085656,0.167399598039571
Chchd3,0.196726232254392,0.22033573491059,0.145533501746623,0.175918991669637
Crip2,0.162243607632686,0.165016687210321,0.204612588447505,0.177873976338662
Etfb,0.160066857567843,0.160776773006069,0.19067007352069,0.16808511187395
Acsm3,0.232319900049925,0.205352335151896,0.138896709207684,0.165874528040733
Ctsz,0.178420694456769,0.165879549873481,0.194283000499481,0.188863955597323
Ephx1,0.212839401053941,0.184975895765243,0.103986294520314,0.173898493300951
Calr,0.176024240441103,0.166722229743506,0.192014700339196,0.185345898503324
Rack1,0.167083640300728,0.165882368409052,0.181548288347142,0.168745614276087
Cyp2e1,0.175739303055847,0.18191097802193,0.140094449179939,0.164322123659357
Acsl5,0.187444422888038,0.188752940979555,0.148664321409696,0.173808029407913
Psma7,0.156264294791007,0.161362071639044,0.184011173160075,0.172704882163533
Atp2a2,0.202189792884578,0.193433538545124,0.122456101560297,0.157443907618554
P01837,0.173355819931334,0.161727868861488,0.18269390690937,0.229756432119763
Acads,0.163857669965763,0.16246371963853,0.19260999338915,0.168559699947974
Mgst1,0.189395097989049,0.187829193331819,0.0987160049345384,0.177788602758323
Calm2,0.165270274746055,0.166465529063534,0.201834647849594,0.167179685268303
Dtx3l,0.222285133612402,0.1916670464412,0.138299982487039,0.140735936908298
Ndufv1,0.16871451216848,0.156061021475613,0.198800383246054,0.16851018832528
Dbt,0.165911555874187,0.159413501462506,0.192714630621421,0.171975127361024
Alb,0.147538807222208,0.159173567547132,0.173836000447541,0.269856987623255
Txn1,0.163831410325367,0.166539935727656,0.187630171310692,0.169895030480145
Rpl3,0.185328534319948,0.182321539249797,0.149192058495275,0.167835840038248
Hmgcs2,0.160523236397677,0.144873128911298,0.229481154127457,0.157517807046953
Hnrnpu,0.189811710398228,0.195279715982825,0.156799863995597,0.174913214361171
Glyat,0.171982498104173,0.150181257479002,0.201361988552012,0.162168557178198
Scpep1,0.171430884902927,0.157066954942989,0.186815949183172,0.169502250458091
Rsu1,0.194892637432021,0.186932984914729,0.163028816230301,0.161911321566241
Sun1,0.166257451296611,0.23409449919366,0.131822392227812,0.121775237853061
Atp5e,0.182812750852766,0.183518349193864,0.138860743083817,0.160730071775309
Ndufs7,0.176397824433637,0.166208167957778,0.152769745358107,0.173460499091013
Rpl8,0.187454306716768,0.197544967677495,0.12152652451892,0.175711406746596
Eef1b2,0.164420186137929,0.161618034511015,0.210951488283778,0.173614631888957
Mettl26,0.170138102693323,0.169730026958977,0.174750750855122,0.184864750272768
Cmas,0.166604142928967,0.20861172741147,0.136764124413617,0.135090117860653
Tecr,0.190263389643848,0.170169354176965,0.105115921685125,0.169214921151219
Ap2a1,0.224101015678998,0.251605800667481,0.13184758134744,0.12358819262384
Rplp1,0.142714483979617,0.163268374381243,0.198173616619593,0.179537794942356
Acadvl,0.164591145667716,0.157484367338141,0.204083497649015,0.16606438658391
Rpl31,0.18425939249313,0.191094939308787,0.167237445750739,0.157539805475486
Ugt2b36,0.210497511957662,0.182475987607759,0.113985123696409,0.183315523993089
Uqcrfs1,0.170974854452989,0.164020228992359,0.180173166018603,0.16791848219467
Rps7,0.166472851292944,0.16378448617001,0.185724630307116,0.176114098064341
Nit2,0.16757547525268,0.167113606447011,0.189542918987689,0.168867382698817
Hspa4,0.182624905696651,0.18102068133321,0.172692313564222,0.155951897496036
Tmem205,0.190343740312016,0.174835334013266,0.153920875069758,0.184278574342856
Tpp1,0.148655027255503,0.17920891118949,0.188697264527886,0.183802748831392
Septin9,0.149220232061991,0.139923348304578,0.173454108299024,0.184011318760025
4931406C07Rik,0.161012643105952,0.150481524811627,0.240968946449545,0.162579308099384
Uqcrc2,0.168426464859061,0.155793692862159,0.191380238121276,0.163927049166638
Timm8a1,0.166199892437831,0.163214744427226,0.196099206538188,0.170810824699753
Ndufs6,0.165712343709115,0.157091159328233,0.198280832153661,0.171270850719309
Rpl34,0.198036485188426,0.214003160614885,0.118742658973438,0.187643568101222
Hnrnpm,0.16197111835847,0.169610675166877,0.181451222659301,0.197481763025865
Vapa,0.205329144984532,0.19647791092937,0.138646262693134,0.177041760899703
Ank2,0.226841717314065,0.201386518225872,0.0739467694701774,0.155712603033006
Eif2s3x,0.162850854651627,0.156628527029971,0.198161774414676,0.16919654645123
H1f0,0.192774894165986,0.203983571471732,0.101467749571825,0.172025030252308
Mif,0.191597456925876,0.202969809892038,0.184771363310437,0.145780148227328
Rpl12,0.171983702799051,0.151908924464776,0.190469207059867,0.188705375770328
Capza2,0.169486185157978,0.158168289203592,0.192277146386502,0.173164537849419
Gulo,0.190687117255419,0.167174722701828,0.147769050597408,0.178718745365342
Rps14,0.174480897276388,0.183777772821203,0.154936875277387,0.171732635628522
Ran,0.149288885116949,0.154439493232628,0.226791813235738,0.168323600987121
Elavl1,0.195160800074357,0.174638536540911,0.139024772218115,0.158069683901348
Apoa1,0.134815931846978,0.159786481971092,0.190275521093173,0.234232589449185
